       psi        ni[m^-3]        ne[m^-3]       ti[eV]       te[eV]    we[rad/s]
4.132554E-01   3.517952E+19   4.267336E+19   2.441032E+03   1.914754E+03   1.000000E+00
4.152047E-01   3.513103E+19   4.262145E+19   2.433460E+03   1.911582E+03   1.000000E+00
4.171540E-01   3.508264E+19   4.256961E+19   2.425923E+03   1.908407E+03   1.000000E+00
4.191033E-01   3.503436E+19   4.251787E+19   2.418422E+03   1.905229E+03   1.000000E+00
4.210526E-01   3.498619E+19   4.246621E+19   2.410957E+03   1.902048E+03   1.000000E+00
4.230019E-01   3.493812E+19   4.241464E+19   2.403528E+03   1.898865E+03   1.000000E+00
4.249513E-01   3.489017E+19   4.236315E+19   2.396135E+03   1.895678E+03   1.000000E+00
4.269006E-01   3.484233E+19   4.231174E+19   2.388777E+03   1.892489E+03   1.000000E+00
4.288499E-01   3.479459E+19   4.226043E+19   2.381456E+03   1.889297E+03   1.000000E+00
4.307992E-01   3.474698E+19   4.220920E+19   2.374170E+03   1.886102E+03   1.000000E+00
4.327485E-01   3.469947E+19   4.215806E+19   2.366920E+03   1.882904E+03   1.000000E+00
4.346979E-01   3.465208E+19   4.210700E+19   2.359705E+03   1.879703E+03   1.000000E+00
4.366472E-01   3.460481E+19   4.205604E+19   2.352527E+03   1.876500E+03   1.000000E+00
4.385965E-01   3.455766E+19   4.200516E+19   2.345383E+03   1.873293E+03   1.000000E+00
4.405458E-01   3.451062E+19   4.195437E+19   2.338276E+03   1.870084E+03   1.000000E+00
4.424951E-01   3.446370E+19   4.190367E+19   2.331204E+03   1.866872E+03   1.000000E+00
4.444444E-01   3.441691E+19   4.185305E+19   2.324167E+03   1.863656E+03   1.000000E+00
4.463938E-01   3.437023E+19   4.180253E+19   2.317166E+03   1.860438E+03   1.000000E+00
4.483431E-01   3.432368E+19   4.175209E+19   2.310200E+03   1.857218E+03   1.000000E+00
4.502924E-01   3.427725E+19   4.170175E+19   2.303270E+03   1.853994E+03   1.000000E+00
4.522417E-01   3.423095E+19   4.165149E+19   2.296375E+03   1.850767E+03   1.000000E+00
4.541910E-01   3.418477E+19   4.160133E+19   2.289516E+03   1.847538E+03   1.000000E+00
4.561404E-01   3.413872E+19   4.155125E+19   2.282691E+03   1.844305E+03   1.000000E+00
4.580897E-01   3.409279E+19   4.150127E+19   2.275902E+03   1.841070E+03   1.000000E+00
4.600390E-01   3.404700E+19   4.145137E+19   2.269149E+03   1.837832E+03   1.000000E+00
4.619883E-01   3.400133E+19   4.140157E+19   2.262430E+03   1.834591E+03   1.000000E+00
4.639376E-01   3.395580E+19   4.135186E+19   2.255747E+03   1.831347E+03   1.000000E+00
4.658869E-01   3.391039E+19   4.130224E+19   2.249098E+03   1.828100E+03   1.000000E+00
4.678363E-01   3.386512E+19   4.125272E+19   2.242485E+03   1.824851E+03   1.000000E+00
4.697856E-01   3.381998E+19   4.120328E+19   2.235907E+03   1.821598E+03   1.000000E+00
4.717349E-01   3.377497E+19   4.115394E+19   2.229364E+03   1.818343E+03   1.000000E+00
4.736842E-01   3.373011E+19   4.110470E+19   2.222856E+03   1.815085E+03   1.000000E+00
4.756335E-01   3.368537E+19   4.105554E+19   2.216383E+03   1.811824E+03   1.000000E+00
4.775828E-01   3.364078E+19   4.100648E+19   2.209945E+03   1.808560E+03   1.000000E+00
4.795322E-01   3.359632E+19   4.095752E+19   2.203541E+03   1.805293E+03   1.000000E+00
